Unannotated Annotated CDSs
RS_GCF_000020485.1 977 1442 2419
RS_GCF_000468955.1 916 1369 2285
RS_GCF_000426145.1 2661 1870 4531
RS_GCF_000347175.1 2590 1448 4038
RS_GCF_000381545.1 2582 1829 4411
RS_GCF_000284375.1 4671 4029 8700
RS_GCF_000219645.1 2004 2125 4129
RS_GCF_000760295.1 1557 1121 2678
RS_GCF_000158815.1 3634 2559 6193
RS_GCF_000020525.1 1340 1458 2798
RS_GCF_000282435.1 2418 3493 5911
RS_GCF_001425865.1 2183 2703 4886
RS_GCF_000520695.1 2477 2951 5428
RS_GCF_000156395.1 1153 2501 3654
RS_GCF_000718615.1 3857 3111 6968
RS_GCF_000614585.1 1100 921 2021
RS_GCF_000245015.1 1700 1804 3504
RS_GCF_000426505.1 1865 2415 4280
RS_GCF_000751075.1 950 691 1641
RS_GCF_001267865.1 1198 1780 2978
RS_GCF_000247995.1 1401 1651 3052
RS_GCF_000807675.2 2052 2076 4128
RS_GCF_000808535.1 1620 2457 4077
RS_GCF_000284615.1 1494 2157 3651
RS_GCF_001029395.1 1491 2327 3818
RS_GCF_000424145.1 2724 1901 4625
RS_GCF_000011705.1 1962 3040 5002
RS_GCF_000145255.1 1311 1617 2928
RS_GCF_000465465.1 1672 2911 4583
RS_GCF_000253275.1 1861 1252 3113
RS_GCF_000759885.1 870 965 1835
RS_GCF_000013645.1 3770 4933 8703
RS_GCF_000307305.1 1063 2329 3392
RS_GCF_000285535.1 1883 2702 4585
RS_GCF_001010505.1 1053 1756 2809
RS_GCF_000585215.1 1926 2202 4128
RS_GCF_000024025.1 5209 3821 9030
RS_GCF_000473125.1 4934 4275 9209
RS_GCF_000165525.1 455 1377 1832
RS_GCF_000185345.1 714 952 1666
RS_GCF_000775575.1 1413 1894 3307
RS_GCF_000427275.1 765 1715 2480
RS_GCF_000196795.1 1603 2249 3852
RS_GCF_000747175.1 1265 1561 2826
RS_GCF_000012885.1 1427 1811 3238
RS_GCF_000224745.1 1409 1529 2938
RS_GCF_000186425.1 1014 1529 2543
RS_GCF_000420765.1 1076 1462 2538
RS_GCF_000238275.2 1483 2081 3564
RS_GCF_001302245.1 3154 2088 5242
RS_GCF_000093085.1 1355 2005 3360
RS_GCF_000381605.1 2998 2061 5059
RS_GCF_001425755.1 1785 2078 3863
RS_GCF_000176215.1 1322 2312 3634
RS_GCF_000422725.1 2404 1654 4058
RS_GCF_001187915.1 1479 1717 3196
RS_GCF_000270465.1 784 1637 2421
RS_GCF_000975305.1 1227 2887 4114
RS_GCF_000807855.2 2972 2011 4983
RS_GCF_000011365.1 4454 4045 8499
RS_GCF_000263795.2 2203 2795 4998
RS_GCF_000160015.1 741 1193 1934
RS_GCF_000423745.1 881 1189 2070
RS_GCF_000185745.1 547 999 1546
RS_GCF_000312485.1 1402 3151 4553
RS_GCF_000739895.2 1987 1986 3973
RS_GCF_000422705.1 2043 1433 3476
RS_GCF_000189255.1 1666 2609 4275
RS_GCF_000759535.1 1723 2554 4277
RS_GCF_000014565.1 4361 4699 9060
RS_GCF_000158595.1 978 983 1961
RS_GCF_000613825.1 1905 1577 3482
RS_GCF_001421165.1 1463 1597 3060
RS_GCF_000304335.1 1747 1927 3674
RS_GCF_000003925.1 2609 3016 5625
RS_GCF_000241955.1 1419 3465 4884
RS_GCF_000376825.1 1517 1886 3403
RS_GCF_001029505.1 1457 1672 3129
RS_GCF_000144625.1 1972 2271 4243
RS_GCF_000012825.1 2428 1790 4218
RS_GCF_000428725.1 2174 2493 4667
RS_GCF_000614025.1 1742 998 2740
RS_GCF_000443775.1 991 1791 2782
RS_GCF_000718625.1 4163 3596 7759
RS_GCF_000733945.1 1865 1665 3530
RS_GCF_000499185.1 722 1033 1755
RS_GCF_000013165.1 297 492 789
RS_GCF_000429405.1 2197 1687 3884
RS_GCF_000350085.1 2859 3131 5990
RS_GCF_001072375.1 729 1103 1832
RS_GCF_000980895.1 1865 1911 3776
RS_GCF_000255135.1 955 1122 2077
RS_GCF_001314225.1 2230 2286 4516
RS_GCF_000347595.1 592 1586 2178
RS_GCF_000272045.2 1641 2652 4293
RS_GCF_001053095.1 1585 2773 4358
RS_GCF_000826065.1 1467 1584 3051
RS_GCF_000187935.1 794 1335 2129
RS_GCF_000214175.1 2092 2467 4559
RS_GCF_000718525.1 3515 3061 6576
RS_GCF_001026905.1 1897 2269 4166
RS_GCF_000411235.1 828 1295 2123
RS_GCF_000527695.1 830 1248 2078
RS_GCF_000011385.1 2585 1931 4516
RS_GCF_000775615.1 1218 1955 3173
RS_GCF_000070465.1 1252 2157 3409
RS_GCF_000383935.1 3933 3182 7115
RS_GCF_000283275.1 1466 2289 3755
RS_GCF_000425585.1 2301 1675 3976
RS_GCF_000730665.1 1901 2930 4831
RS_GCF_000757845.1 1064 1004 2068
RS_GCF_000687775.1 783 487 1270
RS_GCF_000423505.1 845 1194 2039
RS_GCF_001422425.1 2310 2025 4335
RS_GCF_001263435.1 1398 2622 4020
RS_GCF_000265245.1 1083 2147 3230
RS_GCF_000472505.1 1295 1741 3036
RS_GCF_001192695.1 2287 2876 5163
RS_GCF_000369545.1 1556 2066 3622
RS_GCF_000718235.1 3597 3092 6689
RS_GCF_000007765.2 962 1096 2058
RS_GCF_000613665.1 2961 1776 4737
RS_GCF_000583215.1 1528 1865 3393
RS_GCF_000385395.1 566 834 1400
RS_GCF_000379525.1 3656 2331 5987
RS_GCF_001267255.1 619 1520 2139
RS_GCF_001295775.1 1668 1800 3468
RS_GCF_000023065.1 962 2212 3174
RS_GCF_000153185.1 1908 2237 4145
RS_GCF_000531755.1 1747 2343 4090
RS_GCF_000455265.1 2313 2760 5073
RS_GCF_000747135.1 1320 1563 2883
RS_GCF_001266755.1 1598 1853 3451
RS_GCF_000421445.1 2566 2345 4911
RS_GCF_000224065.1 2261 2372 4633
RS_GCF_001424595.1 1710 1725 3435
RS_GCF_000009725.1 1986 1724 3710
RS_GCF_000178415.2 3534 4411 7945
RS_GCF_000023045.1 1276 1768 3044
RS_GCF_000760035.1 939 1001 1940
RS_GCF_000160655.1 1092 1304 2396
RS_GCF_000722995.1 1773 2524 4297
RS_GCF_000273175.1 2584 1828 4412
RS_GCF_000382165.1 1619 2032 3651
RS_GCF_000306675.1 2232 1424 3656
RS_GCF_000317555.1 2733 2512 5245
RS_GCF_000771625.1 1158 1141 2299
RS_GCF_000420325.1 1508 2183 3691
RS_GCF_000170895.1 5738 2480 8218
RS_GCF_000012505.1 1305 1155 2460
RS_GCF_000179395.2 1462 1713 3175
RS_GCF_000336235.1 1715 953 2668
RS_GCF_000259365.1 1214 2801 4015
RS_GCF_000962995.1 1384 1755 3139
RS_GCF_000612055.1 864 1240 2104
RS_GCF_000736535.1 1501 2244 3745
RS_GCF_000559025.1 1837 1977 3814
RS_GCF_000382325.1 1432 1460 2892
RS_GCF_000332255.1 2211 2112 4323
RS_GCF_000607165.1 2519 2879 5398
RS_GCF_000525955.1 1470 1914 3384
RS_GCF_001281405.1 443 812 1255
RS_GCF_000286835.2 1865 2679 4544
RS_GCF_000455525.1 2158 1763 3921
RS_GCF_000023645.1 1983 2119 4102
RS_GCF_001189555.1 797 1284 2081
RS_GCF_000012625.1 1671 1221 2892
RS_GCF_001421705.1 1621 2346 3967
RS_GCF_000236405.1 113 447 560
RS_GCF_000518305.1 950 529 1479
RS_GCF_000710935.1 1215 1581 2796
RS_GCF_000012485.1 962 1235 2197
RS_GCF_000270145.1 917 1364 2281
RS_GCF_000420725.1 1171 1995 3166
RS_GCF_000803105.1 1704 1466 3170
RS_GCF_000179915.2 2365 1909 4274
RS_GCF_000374425.1 1667 1800 3467
RS_GCF_000011305.1 1281 1596 2877
RS_GCF_000327065.1 1736 2568 4304
RS_GCF_001182895.1 1563 2062 3625
RS_GCF_000012405.1 1435 1700 3135
RS_GCF_000196255.1 2506 3315 5821
RS_GCF_000282475.1 2612 3970 6582
RS_GCF_000486025.1 1015 2847 3862
RS_GCF_000421065.1 3090 2184 5274
RS_GCF_000312425.1 2707 2969 5676
RS_GCF_000964075.1 1526 1501 3027
RS_GCF_000178095.1 782 1078 1860
RS_GCF_000021345.1 3039 3501 6540
RS_GCF_000306785.1 2709 2595 5304
RS_GCF_001190945.1 2729 2436 5165
RS_GCF_000282275.2 2311 3207 5518
RS_GCF_000160035.2 1611 1481 3092
RS_GCF_000738005.1 832 1078 1910
RS_GCF_000426545.1 2630 2945 5575
RS_GCF_000014125.1 909 1411 2320
RS_GCF_000263355.1 1996 2138 4134
RS_GCF_000828775.1 1373 3514 4887
RS_GCF_000021065.1 24 556 580
RS_GCF_000204645.1 1959 2838 4797
RS_GCF_000375625.1 3697 3152 6849
RS_GCF_000478985.1 874 998 1872
RS_GCF_001048495.1 2075 2807 4882
RS_GCF_000747315.1 1062 1236 2298
RS_GCF_000746275.1 934 1269 2203
RS_GCF_001306915.1 1839 2252 4091
RS_GCF_000498295.1 495 1235 1730
RS_GCF_001022155.1 1455 3792 5247
RS_GCF_000752475.1 532 1816 2348
RS_GCF_000708185.1 1293 1396 2689
RS_GCF_000689915.1 1638 3175 4813
RS_GCF_001059425.1 408 1372 1780
RS_GCF_000755185.1 851 1278 2129
RS_GCF_000759975.1 973 998 1971
RS_GCF_001424525.1 2185 1906 4091
RS_GCF_000428765.1 1268 1319 2587
RS_GCF_000512125.1 1100 3382 4482
RS_GCF_000022645.2 3180 3232 6412
RS_GCF_000502935.1 3223 3293 6516
RS_GCF_001186155.3 1297 2014 3311
RS_GCF_001428925.1 2322 2691 5013
RS_GCF_000275925.1 2409 3745 6154
RS_GCF_000741535.1 791 945 1736
RS_GCF_000495835.1 1970 1749 3719
RS_GCF_001028645.1 818 1551 2369
RS_GCF_000243335.1 2671 1590 4261
RS_GCF_001428125.1 1834 1883 3717
RS_GCF_000374205.1 4526 3895 8421
RS_GCF_001294685.1 904 1636 2540
RS_GCF_000085865.1 649 472 1121
RS_GCF_000568155.1 1255 3478 4733
RS_GCF_001070715.1 851 1200 2051
RS_GCF_001422725.1 2807 1959 4766
RS_GCF_000524475.1 1910 2462 4372
RS_GCF_000466465.2 2898 2680 5578
RS_GCF_000568555.1 2411 2829 5240
RS_GCF_000217795.1 956 1290 2246
RS_GCF_000723165.1 2359 2767 5126
RS_GCF_000401175.1 949 1708 2657
RS_GCF_001042525.2 992 1190 2182
RS_GCF_000347675.2 2144 2239 4383
RS_GCF_000428865.1 692 1104 1796
RS_GCF_000224655.1 2182 1870 4052
RS_GCF_000495795.1 2507 2099 4606
RS_GCF_000464455.1 1254 1233 2487
RS_GCF_001421825.1 1795 1826 3621
RS_GCF_000513975.1 1670 2437 4107
RS_GCF_000813585.1 1201 3356 4557
RS_GCF_000619985.1 1671 1300 2971
RS_GCF_000258405.1 1629 1515 3144
RS_GCF_000331575.1 1417 1957 3374
RS_GCF_000981035.1 1258 1696 2954
RS_GCF_000599545.1 3708 4712 8420
RS_GCF_000709535.1 856 3156 4012
RS_GCF_000509125.1 1729 2136 3865
RS_GCF_000761475.1 1104 2270 3374
RS_GCF_000614245.1 1964 1122 3086
RS_GCF_000518785.1 2108 2591 4699
RS_GCF_000813345.1 1085 1511 2596
RS_GCF_000311845.1 849 1062 1911
RS_GCF_000955815.1 1995 3068 5063
RS_GCF_000195755.1 1667 1641 3308
RS_GCF_001282685.1 2091 2090 4181
RS_GCF_000820045.1 1682 2534 4216
RS_GCF_000280865.1 3673 3099 6772
RS_GCF_000152625.1 1542 1944 3486
RS_GCF_000178835.2 2263 1995 4258
RS_GCF_001006065.1 4071 2345 6416
RS_GCF_000379425.1 1185 1590 2775
RS_GCF_000987835.1 1053 1136 2189
RS_GCF_000758705.1 2906 3305 6211
RS_GCF_000332135.1 3094 2048 5142
RS_GCF_000308875.1 4146 3663 7809
RS_GCF_000753815.1 1040 490 1530
RS_GCF_000143205.1 1084 1493 2577
RS_GCF_000484535.1 2554 1922 4476
RS_GCF_000259875.1 2115 2649 4764
RS_GCF_000787385.1 3299 3312 6611
RS_GCF_000317265.1 3780 2837 6617
RS_GCF_000328545.1 1229 1623 2852
RS_GCF_000454045.1 2686 3214 5900
RS_GCF_000427295.1 3321 2179 5500
RS_GCF_000006605.1 842 1293 2135
RS_GCF_000160535.1 1591 1112 2703
RS_GCF_000423905.1 878 1359 2237
RS_GCF_001421425.1 2374 3536 5910
RS_GCF_000393895.1 1874 2326 4200
RS_GCF_000967495.1 2106 2565 4671
RS_GCF_000230895.2 2877 3399 6276
RS_GCF_001189535.1 1504 1747 3251
RS_GCF_000803645.1 2582 2310 4892
RS_GCF_000153725.1 2300 2757 5057
RS_GCF_000007985.2 1532 1879 3411
RS_GCF_000068585.1 354 542 896
RS_GCF_000827735.1 1298 1046 2344
RS_GCF_000973505.1 31 571 602
RS_GCF_000833975.1 1551 1106 2657
RS_GCF_000153225.1 1215 1209 2424
RS_GCF_001426105.1 1823 2549 4372
RS_GCF_000717095.1 4804 4019 8823
RS_GCF_000817995.1 755 1005 1760
RS_GCF_000021485.1 1501 1549 3050
RS_GCF_000007785.1 1506 1764 3270
RS_GCF_001424715.1 1455 1693 3148
