Prokka_unannotated Prokka_annotated Prokka_CDSs KEGG_unannotated KEGG_annotated Pfam_unannotated Pfam_annotated KEGG_Pfam_CDSs
RS_GCF_000020485.1 977 1442 2419 846 1573 329 2090 2419
RS_GCF_000468955.1 916 1369 2285 837 1448 336 1949 2285
RS_GCF_000426145.1 2661 1870 4531 2487 2057 1083 3461 4544
RS_GCF_000347175.1 2590 1448 4038 2482 1633 1374 2741 4115
RS_GCF_000381545.1 2582 1829 4411 2422 2008 1155 3275 4430
RS_GCF_000284375.1 4671 4029 8700 3947 4754 1921 6780 8701
RS_GCF_000219645.1 2004 2125 4129 1587 2542 669 3460 4129
RS_GCF_000760295.1 1557 1121 2678 1425 1284 916 1793 2709
RS_GCF_000158815.1 3634 2559 6193 3502 2694 1761 4435 6196
RS_GCF_000020525.1 1340 1458 2798 1266 1553 558 2261 2819
RS_GCF_000282435.1 2418 3493 5911 2053 3905 860 5098 5958
RS_GCF_001425865.1 2183 2703 4886 1756 3136 693 4199 4892
RS_GCF_000520695.1 2477 2951 5428 2521 3105 1030 4596 5626
RS_GCF_000156395.1 1153 2501 3654 1113 2573 447 3239 3686
RS_GCF_000718615.1 3857 3111 6968 3589 3422 1618 5393 7011
RS_GCF_000614585.1 1100 921 2021 1251 796 593 1454 2047
RS_GCF_000245015.1 1700 1804 3504 1492 2016 642 2866 3508
RS_GCF_000426505.1 1865 2415 4280 1508 2757 541 3724 4265
RS_GCF_000751075.1 950 691 1641 921 745 554 1112 1666
RS_GCF_001267865.1 1198 1780 2978 1209 1772 566 2415 2981
RS_GCF_000247995.1 1401 1651 3052 1291 1796 561 2526 3087
RS_GCF_000807675.2 2052 2076 4128 1921 2208 772 3357 4129
RS_GCF_000808535.1 1620 2457 4077 1371 2727 499 3599 4098
RS_GCF_000284615.1 1494 2157 3651 1209 2442 469 3182 3651
RS_GCF_001029395.1 1491 2327 3818 1252 2585 497 3340 3837
RS_GCF_000424145.1 2724 1901 4625 2670 2010 1220 3460 4680
RS_GCF_000011705.1 1962 3040 5002 1586 3416 629 4373 5002
RS_GCF_000145255.1 1311 1617 2928 1101 1826 518 2409 2927
RS_GCF_000465465.1 1672 2911 4583 1781 2806 734 3853 4587
RS_GCF_000253275.1 1861 1252 3113 1709 1406 895 2220 3115
RS_GCF_000759885.1 870 965 1835 781 1069 461 1389 1850
RS_GCF_000013645.1 3770 4933 8703 3085 5619 1353 7351 8704
RS_GCF_000307305.1 1063 2329 3392 1151 2372 558 2965 3523
RS_GCF_000285535.1 1883 2702 4585 1907 2705 758 3854 4612
RS_GCF_001010505.1 1053 1756 2809 837 1973 347 2463 2810
RS_GCF_000585215.1 1926 2202 4128 1710 2476 699 3487 4186
RS_GCF_000024025.1 5209 3821 9030 4814 4222 2069 6967 9036
RS_GCF_000473125.1 4934 4275 9209 4198 5013 2045 7166 9211
RS_GCF_000165525.1 455 1377 1832 407 1425 167 1665 1832
RS_GCF_000185345.1 714 952 1666 569 1110 331 1348 1679
RS_GCF_000775575.1 1413 1894 3307 1409 2014 602 2821 3423
RS_GCF_000427275.1 765 1715 2480 767 1714 303 2178 2481
RS_GCF_000196795.1 1603 2249 3852 1413 2439 657 3195 3852
RS_GCF_000747175.1 1265 1561 2826 1088 1774 445 2417 2862
RS_GCF_000012885.1 1427 1811 3238 1189 2053 496 2746 3242
RS_GCF_000224745.1 1409 1529 2938 1195 1751 529 2417 2946
RS_GCF_000186425.1 1014 1529 2543 808 1739 324 2223 2547
RS_GCF_000420765.1 1076 1462 2538 861 1674 341 2194 2535
RS_GCF_000238275.2 1483 2081 3564 1268 2312 482 3098 3580
RS_GCF_001302245.1 3154 2088 5242 2982 2295 1300 3977 5277
RS_GCF_000093085.1 1355 2005 3360 1218 2143 496 2865 3361
RS_GCF_000381605.1 2998 2061 5059 2771 2289 1261 3799 5060
RS_GCF_001425755.1 1785 2078 3863 1570 2293 613 3250 3863
RS_GCF_000176215.1 1322 2312 3634 1146 2505 437 3214 3651
RS_GCF_000422725.1 2404 1654 4058 2246 1823 1082 2987 4069
